date,passengers
2019-01-01,307
2019-02-01,325
2019-03-01,358
2019-04-01,381
2019-05-01,351
2019-06-01,335
2019-07-01,340
2019-08-01,306
2019-09-01,272
2019-10-01,283
2019-11-01,277
2019-12-01,298
2020-01-01,337
2020-02-01,332
2020-03-01,356
2020-04-01,383
2020-05-01,373
2020-06-01,377
2020-07-01,337
2020-08-01,307
2020-09-01,335
2020-10-01,305
2020-11-01,319
2020-12-01,318
2021-01-01,359
2021-02-01,397
2021-03-01,399
2021-04-01,431
2021-05-01,413
2021-06-01,402
2021-07-01,375
2021-08-01,390
2021-09-01,346
2021-10-01,327
2021-11-01,364
2021-12-01,355
2022-01-01,404
2022-02-01,399
2022-03-01,430
2022-04-01,462
2022-05-01,467
2022-06-01,443
2022-07-01,416
2022-08-01,391
2022-09-01,358
2022-10-01,365
2022-11-01,379
2022-12-01,423
2023-01-01,440
2023-02-01,436
2023-03-01,489
2023-04-01,487
2023-05-01,479
2023-06-01,483
2023-07-01,467
2023-08-01,443
2023-09-01,401
2023-10-01,405
2023-11-01,425
2023-12-01,455
2024-01-01,461
2024-02-01,494
2024-03-01,501
2024-04-01,509
2024-05-01,535
2024-06-01,528
2024-07-01,484
2024-08-01,478
2024-09-01,453
2024-10-01,434
2024-11-01,459
2024-12-01,498
