date,calls
2021-01-01,296
2021-01-02,455
2021-01-03,617
2021-01-04,709
2021-01-05,622
2021-01-06,443
2021-01-07,338
2021-01-08,389
2021-01-09,521
2021-01-10,566
2021-01-11,576
2021-01-12,664
2021-01-13,378
2021-01-14,308
2021-01-15,275
2021-01-16,387
2021-01-17,670
2021-01-18,745
2021-01-19,592
2021-01-20,320
2021-01-21,296
2021-01-22,356
2021-01-23,406
2021-01-24,656
2021-01-25,710
2021-01-26,653
2021-01-27,459
2021-01-28,278
2021-01-29,400
2021-01-30,476
2021-01-31,649
2021-02-01,667
2021-02-02,605
2021-02-03,412
2021-02-04,321
2021-02-05,429
2021-02-06,418
2021-02-07,573
2021-02-08,791
2021-02-09,620
2021-02-10,426
2021-02-11,385
2021-02-12,316
2021-02-13,582
2021-02-14,691
2021-02-15,696
2021-02-16,742
2021-02-17,433
2021-02-18,373
2021-02-19,365
2021-02-20,559
2021-02-21,738
2021-02-22,725
2021-02-23,600
2021-02-24,489
2021-02-25,306
2021-02-26,454
2021-02-27,504
2021-02-28,645
2021-03-01,736
2021-03-02,574
2021-03-03,421
2021-03-04,403
2021-03-05,324
2021-03-06,448
2021-03-07,694
2021-03-08,790
2021-03-09,680
2021-03-10,523
2021-03-11,309
2021-03-12,289
2021-03-13,579
2021-03-14,654
2021-03-15,721
2021-03-16,714
2021-03-17,504
2021-03-18,373
2021-03-19,471
2021-03-20,475
2021-03-21,720
2021-03-22,740
2021-03-23,664
2021-03-24,556
2021-03-25,379
2021-03-26,393
2021-03-27,564
2021-03-28,659
2021-03-29,699
2021-03-30,602
2021-03-31,385
2021-04-01,459
2021-04-02,315
2021-04-03,503
2021-04-04,666
2021-04-05,759
2021-04-06,698
2021-04-07,530
2021-04-08,331
2021-04-09,365
2021-04-10,531
2021-04-11,671
2021-04-12,828
2021-04-13,686
2021-04-14,527
2021-04-15,396
2021-04-16,435
2021-04-17,530
2021-04-18,622
2021-04-19,771
2021-04-20,632
2021-04-21,467
2021-04-22,396
2021-04-23,442
2021-04-24,525
2021-04-25,706
2021-04-26,839
2021-04-27,680
2021-04-28,627
2021-04-29,398
2021-04-30,295
2021-05-01,565
2021-05-02,713
2021-05-03,822
2021-05-04,705
2021-05-05,493
2021-05-06,312
2021-05-07,376
2021-05-08,488
2021-05-09,668
2021-05-10,790
2021-05-11,758
2021-05-12,523
2021-05-13,317
2021-05-14,412
2021-05-15,594
2021-05-16,670
2021-05-17,757
2021-05-18,679
2021-05-19,467
2021-05-20,412
2021-05-21,387
2021-05-22,558
2021-05-23,659
2021-05-24,746
2021-05-25,717
2021-05-26,491
2021-05-27,470
2021-05-28,377
2021-05-29,552
2021-05-30,754
2021-05-31,700
2021-06-01,597
2021-06-02,437
2021-06-03,450
2021-06-04,373
2021-06-05,672
2021-06-06,682
2021-06-07,783
2021-06-08,765
2021-06-09,617
2021-06-10,493
2021-06-11,464
2021-06-12,599
2021-06-13,743
2021-06-14,816
2021-06-15,664
2021-06-16,479
2021-06-17,393
2021-06-18,398
2021-06-19,528
2021-06-20,752
2021-06-21,829
2021-06-22,699
2021-06-23,597
2021-06-24,340
2021-06-25,401
2021-06-26,518
2021-06-27,627
2021-06-28,780
2021-06-29,692
2021-06-30,603
2021-07-01,432
2021-07-02,362
2021-07-03,650
2021-07-04,785
2021-07-05,817
2021-07-06,690
2021-07-07,482
2021-07-08,385
